id,required,phase,area,scenario,expected,evidence
AC-F006,yes,S23,AuthorityFusion,No visibility inference,Forbidden,UNIT/REAL_POSTGRES
AC-F007,yes,S23,AuthorityFusion,Typed predicate still supported,Existing PREDICATE_EVALUATION path,UNIT/REAL_POSTGRES
AC-F008,yes,S23,AuthorityFusion,Typed correlation still supported,Existing CORRELATION_FINDING path,UNIT/REAL_POSTGRES
AC-F009,yes,S23,AuthorityFusion,Hybrid three sections,Authorities separated,UNIT/REAL_POSTGRES
AC-F010,yes,S23,AuthorityFusion,Task status from SDAR,Never overwritten,UNIT/REAL_POSTGRES
AC-F011,yes,S23,AuthorityFusion,World explanation from WSGS/GOWM,Never rewritten as task truth,UNIT/REAL_POSTGRES
AC-F012,yes,S23,AuthorityFusion,Composition compare-only,SACS role explicit,UNIT/REAL_POSTGRES
AC-F013,yes,S23,AuthorityFusion,Partial world evidence,Fusion remains unknown where required,UNIT/REAL_POSTGRES
AC-F014,yes,S23,AuthorityFusion,Data gap,Does not become violated,UNIT/REAL_POSTGRES
AC-F015,yes,S23,AuthorityFusion,OpenAI/AGUI hybrid parity,Same fusion/explanation objects,UNIT/REAL_POSTGRES
AC-F016,yes,S23,AuthorityFusion,Replay identity,Task/requirement/grounding hashes preserved,UNIT/REAL_POSTGRES
AC-F017,yes,S23,AuthorityFusion,Regression 49 checks,Existing focused Fusion tests pass,UNIT/REAL_POSTGRES
AC-F018,yes,S23,AuthorityFusion,S23 marker,Authority marker emitted,UNIT/REAL_POSTGRES
AC-R001,yes,S24,RealE2E,E2E-01: 2号车当前位置的坡度是多少？,Real path; questionKind=POINT_VALUE; status=COMPLETE,OPENAI_HTTP/AGUI_HTTP_SSE/REAL_WSGS/RUNNING_GOWM_GATEWAY/REAL_GDPS_SOURCE
AC-R002,yes,S24,RealE2E,E2E-02: A区内坡度15到30度的区域有哪些？,Real path; questionKind=VALUE_RANGE_AREAS; status=COMPLETE,OPENAI_HTTP/AGUI_HTTP_SSE/REAL_WSGS/RUNNING_GOWM_GATEWAY/REAL_GDPS_SOURCE
AC-R003,yes,S24,RealE2E,E2E-03: A区内有哪些洪水高风险区域？,Real path; questionKind=FEATURES_IN_AREA; status=COMPLETE,OPENAI_HTTP/AGUI_HTTP_SSE/REAL_WSGS/RUNNING_GOWM_GATEWAY/REAL_GDPS_SOURCE
AC-R004,yes,S24,RealE2E,E2E-04: 2号车附近500米有哪些排水沟？,Real path; questionKind=FEATURES_NEARBY; status=COMPLETE,OPENAI_HTTP/AGUI_HTTP_SSE/REAL_WSGS/RUNNING_GOWM_GATEWAY/REAL_GDPS_SOURCE
AC-R005,yes,S24,RealE2E,E2E-05: A区内有哪些高地？,Real path; questionKind=FEATURES_IN_AREA; status=COMPLETE,OPENAI_HTTP/AGUI_HTTP_SSE/REAL_WSGS/RUNNING_GOWM_GATEWAY/REAL_GDPS_SOURCE
AC-R006,yes,S24,RealE2E,E2E-06: A区内有哪些湿地？,Real path; questionKind=FEATURES_IN_AREA; status=COMPLETE,OPENAI_HTTP/AGUI_HTTP_SSE/REAL_WSGS/RUNNING_GOWM_GATEWAY/REAL_GDPS_SOURCE
AC-R007,yes,S24,RealE2E,E2E-07: 2号车当前位置是什么地表覆盖？,Real path; questionKind=POINT_CLASSIFICATION; status=COMPLETE,OPENAI_HTTP/AGUI_HTTP_SSE/REAL_WSGS/RUNNING_GOWM_GATEWAY/REAL_GDPS_SOURCE
AC-R008,yes,S24,RealE2E,E2E-08: 2号车当前位置为什么属于该通行性等级？,Real path; questionKind=QUALIFIED_EXPLANATION; status=COMPLETE,OPENAI_HTTP/AGUI_HTTP_SSE/REAL_WSGS/RUNNING_GOWM_GATEWAY/REAL_GDPS_SOURCE
AC-R009,yes,S24,RealE2E,E2E-09: 使用当前指定的坡度产品查询A区15到30度坡地。,Real path; questionKind=VALUE_RANGE_AREAS; status=COMPLETE,OPENAI_HTTP/AGUI_HTTP_SSE/REAL_WSGS/RUNNING_GOWM_GATEWAY/REAL_GDPS_SOURCE
AC-R010,yes,S24,RealE2E,E2E-10: 把刚才找到的可引用高地显示出来。,Real path; questionKind=MULTI_FINDING; status=COMPLETE_OR_CLARIFY,OPENAI_HTTP/AGUI_HTTP_SSE/REAL_WSGS/RUNNING_GOWM_GATEWAY/REAL_GDPS_SOURCE
AC-R011,yes,S24,RealE2E,NEG-01: A区有哪些雪崩风险区域？,Real path; questionKind=FEATURES_IN_AREA; status=DATA_UNAVAILABLE,OPENAI_HTTP/AGUI_HTTP_SSE/REAL_WSGS/RUNNING_GOWM_GATEWAY/REAL_GDPS_SOURCE
AC-R012,yes,S24,RealE2E,NEG-02: 查询范围超出当前数据覆盖。,Real path; questionKind=FEATURES_IN_AREA; status=DATA_UNAVAILABLE,OPENAI_HTTP/AGUI_HTTP_SSE/REAL_WSGS/RUNNING_GOWM_GATEWAY/REAL_GDPS_SOURCE
AC-R013,yes,S24,RealE2E,NEG-03: 滨河路附近有哪些排水沟？,Real path; questionKind=FEATURES_NEARBY; status=CLARIFICATION_REQUIRED,OPENAI_HTTP/AGUI_HTTP_SSE/REAL_WSGS/RUNNING_GOWM_GATEWAY/REAL_GDPS_SOURCE
AC-R014,yes,S24,RealE2E,NEG-04: 返回前100项但实际结果更多。,Real path; questionKind=FEATURES_IN_AREA; status=PARTIAL,OPENAI_HTTP/AGUI_HTTP_SSE/REAL_WSGS/RUNNING_GOWM_GATEWAY/REAL_GDPS_SOURCE
AC-R015,yes,S24,RealE2E,NEG-05: 上游返回未知Finding Schema。,Real path; questionKind=MULTI_FINDING; status=PARTIAL_OR_DATA_UNAVAILABLE,OPENAI_HTTP/AGUI_HTTP_SSE/REAL_WSGS/RUNNING_GOWM_GATEWAY/REAL_GDPS_SOURCE
AC-R016,yes,S24,RealE2E,NEG-06: 严格复用已经变化的数据源结果。,Real path; questionKind=MULTI_FINDING; status=DATA_UNAVAILABLE,OPENAI_HTTP/AGUI_HTTP_SSE/REAL_WSGS/RUNNING_GOWM_GATEWAY/REAL_GDPS_SOURCE
AC-R017,yes,S24,RealE2E,NEG-07: 访问另一数据范围中的地理产品。,Real path; questionKind=MULTI_FINDING; status=DATA_UNAVAILABLE,OPENAI_HTTP/AGUI_HTTP_SSE/REAL_WSGS/RUNNING_GOWM_GATEWAY/REAL_GDPS_SOURCE
AC-R018,yes,S24,RealE2E,HYBRID-01: 任务计划与当前地理条件是否一致？,Real path; questionKind=MULTI_FINDING; status=COMPLETE_OR_PARTIAL,OPENAI_HTTP/AGUI_HTTP_SSE/REAL_WSGS/RUNNING_GOWM_GATEWAY/REAL_GDPS_SOURCE
AC-Z001,yes,S24,Final,Real WSGS post count,Every required query has real request evidence,CI/REPORT/GIT
AC-Z002,yes,S24,Final,Real Gateway evidence,Operation/query IDs trace to running Gateway,CI/REPORT/GIT
AC-Z003,yes,S24,Final,Real GDPS source,Product/profile/contentHash present,CI/REPORT/GIT
AC-Z004,yes,S24,Final,Real PostgreSQL,Explanation persisted,CI/REPORT/GIT
AC-Z005,yes,S24,Final,OpenAI HTTP path,At least required normal/negative cases,CI/REPORT/GIT
AC-Z006,yes,S24,Final,AGUI HTTP/SSE path,At least required map/partial cases,CI/REPORT/GIT
AC-Z007,yes,S24,Final,Configured model routing,At least two real user-facing routes,CI/REPORT/GIT
AC-Z008,yes,S24,Final,No fixture substitution,Fixture evidence labeled supplementary,CI/REPORT/GIT
AC-Z009,yes,S24,Final,Base 411 regression,Existing Jest/Postgres baseline not regressed,CI/REPORT/GIT
AC-Z010,yes,S24,Final,Migration gate,0013 contiguous,CI/REPORT/GIT
AC-Z011,yes,S24,Final,Architecture gate,No direct GDPS/GOWM and no spatial library,CI/REPORT/GIT
AC-Z012,yes,S24,Final,Secret gate,No credential or raw identifiers leaked,CI/REPORT/GIT
AC-Z013,yes,S24,Final,Container build,0.4.0 image passes,CI/REPORT/GIT
AC-Z014,yes,S24,Final,Compose health,SACS healthy with real WSGS endpoint,CI/REPORT/GIT
AC-Z015,yes,S24,Final,Restart,SACS restart preserves replay,CI/REPORT/GIT
AC-Z016,yes,S24,Final,WSGS outage,Safe failure and recovery,CI/REPORT/GIT
AC-Z017,yes,S24,Final,Evidence map,Every required row mapped,CI/REPORT/GIT
AC-Z018,yes,S24,Final,No aggregate pass,Independent evaluation,CI/REPORT/GIT
AC-Z019,yes,S24,Final,Draft PR,Correct stacked base and exact SHA,CI/REPORT/GIT
AC-Z020,yes,S24,Final,No protected action,No merge/tag/release/deploy,CI/REPORT/GIT
