id,required,track,phase,area,scenario,expected,evidence
AC-V5-PROJECTION-005,yes,V0_5,C10,AGUIProjection,Activity snapshot,Protocol contract and reference client pass,UNIT/AGUI_OFFICIAL_CLIENT/REFERENCE_CLIENT
AC-V5-PROJECTION-006,yes,V0_5,C10,AGUIProjection,Activity delta,Protocol contract and reference client pass,UNIT/AGUI_OFFICIAL_CLIENT/REFERENCE_CLIENT
AC-V5-PROJECTION-007,yes,V0_5,C10,AGUIProjection,State snapshot,Protocol contract and reference client pass,UNIT/AGUI_OFFICIAL_CLIENT/REFERENCE_CLIENT
AC-V5-PROJECTION-008,yes,V0_5,C10,AGUIProjection,State delta revision guard,Protocol contract and reference client pass,UNIT/AGUI_OFFICIAL_CLIENT/REFERENCE_CLIENT
AC-V5-PROJECTION-009,yes,V0_5,C10,AGUIProjection,Custom transient command,Protocol contract and reference client pass,UNIT/AGUI_OFFICIAL_CLIENT/REFERENCE_CLIENT
AC-V5-PROJECTION-010,yes,V0_5,C10,AGUIProjection,final explanation text,Protocol contract and reference client pass,UNIT/AGUI_OFFICIAL_CLIENT/REFERENCE_CLIENT
AC-V5-PROJECTION-011,yes,V0_5,C10,AGUIProjection,v0.2 profile isolation,Protocol contract and reference client pass,UNIT/AGUI_OFFICIAL_CLIENT/REFERENCE_CLIENT
AC-V5-PROJECTION-012,yes,V0_5,C10,AGUIProjection,v0.3 profile isolation,Protocol contract and reference client pass,UNIT/AGUI_OFFICIAL_CLIENT/REFERENCE_CLIENT
AC-V5-MAP-001,yes,V0_5,C10,MapFocus,INLINE_GEOJSON,Expected map/focus semantics pass,REFERENCE_CLIENT/UNIT
AC-V5-MAP-002,yes,V0_5,C10,MapFocus,REFERENCE_SET,Expected map/focus semantics pass,REFERENCE_CLIENT/UNIT
AC-V5-MAP-003,yes,V0_5,C10,MapFocus,PAYLOAD_REFERENCE,Expected map/focus semantics pass,REFERENCE_CLIENT/UNIT
AC-V5-MAP-004,yes,V0_5,C10,MapFocus,executionFocus,Expected map/focus semantics pass,REFERENCE_CLIENT/UNIT
AC-V5-MAP-005,yes,V0_5,C10,MapFocus,interventionFocus,Expected map/focus semantics pass,REFERENCE_CLIENT/UNIT
AC-V5-MAP-006,yes,V0_5,C10,MapFocus,pinnedFocus,Expected map/focus semantics pass,REFERENCE_CLIENT/UNIT
AC-V5-MAP-007,yes,V0_5,C10,MapFocus,conversationFocus,Expected map/focus semantics pass,REFERENCE_CLIENT/UNIT
AC-V5-MAP-008,yes,V0_5,C10,MapFocus,inspectionFocus local-only,Expected map/focus semantics pass,REFERENCE_CLIENT/UNIT
AC-V5-MAP-009,yes,V0_5,C10,MapFocus,map pan zero command,Expected map/focus semantics pass,REFERENCE_CLIENT/UNIT
AC-V5-MAP-010,yes,V0_5,C10,MapFocus,map zoom zero command,Expected map/focus semantics pass,REFERENCE_CLIENT/UNIT
AC-V5-MAP-011,yes,V0_5,C10,MapFocus,hover zero command,Expected map/focus semantics pass,REFERENCE_CLIENT/UNIT
AC-V5-MAP-012,yes,V0_5,C10,MapFocus,ordinary click zero command,Expected map/focus semantics pass,REFERENCE_CLIENT/UNIT
AC-V5-MAP-013,yes,V0_5,C10,MapFocus,authoritative geometry read-only,Expected map/focus semantics pass,REFERENCE_CLIENT/UNIT
AC-V5-MAP-014,yes,V0_5,C10,MapFocus,user override separate,Expected map/focus semantics pass,REFERENCE_CLIENT/UNIT
AC-V5-MAP-015,yes,V0_5,C10,MapFocus,old revision layers superseded,Expected map/focus semantics pass,REFERENCE_CLIENT/UNIT
AC-V5-MAP-016,yes,V0_5,C10,MapFocus,layer failure does not fail analysis,Expected map/focus semantics pass,REFERENCE_CLIENT/UNIT
AC-V5-STEER-001,yes,V0_5,C11,SteeringRevision,public args separate from execution args,Safe proposal/recompile/revision behavior passes,UNIT/REAL_POSTGRES/REAL_WSGS
AC-V5-STEER-002,yes,V0_5,C11,SteeringRevision,public schema hash,Safe proposal/recompile/revision behavior passes,UNIT/REAL_POSTGRES/REAL_WSGS
AC-V5-STEER-003,yes,V0_5,C11,SteeringRevision,editable path allowlist,Safe proposal/recompile/revision behavior passes,UNIT/REAL_POSTGRES/REAL_WSGS
AC-V5-STEER-004,yes,V0_5,C11,SteeringRevision,editor hints,Safe proposal/recompile/revision behavior passes,UNIT/REAL_POSTGRES/REAL_WSGS
AC-V5-STEER-005,yes,V0_5,C11,SteeringRevision,security fields absent,Safe proposal/recompile/revision behavior passes,UNIT/REAL_POSTGRES/REAL_WSGS
AC-V5-STEER-006,yes,V0_5,C11,SteeringRevision,proposal ownership,Safe proposal/recompile/revision behavior passes,UNIT/REAL_POSTGRES/REAL_WSGS
AC-V5-STEER-007,yes,V0_5,C11,SteeringRevision,revision CAS,Safe proposal/recompile/revision behavior passes,UNIT/REAL_POSTGRES/REAL_WSGS
AC-V5-STEER-008,yes,V0_5,C11,SteeringRevision,idempotent replay,Safe proposal/recompile/revision behavior passes,UNIT/REAL_POSTGRES/REAL_WSGS
AC-V5-STEER-009,yes,V0_5,C11,SteeringRevision,idempotency conflict,Safe proposal/recompile/revision behavior passes,UNIT/REAL_POSTGRES/REAL_WSGS
AC-V5-STEER-010,yes,V0_5,C11,SteeringRevision,one pending proposal,Safe proposal/recompile/revision behavior passes,UNIT/REAL_POSTGRES/REAL_WSGS
AC-V5-STEER-011,yes,V0_5,C11,SteeringRevision,expired tool interaction,Safe proposal/recompile/revision behavior passes,UNIT/REAL_POSTGRES/REAL_WSGS
AC-V5-STEER-012,yes,V0_5,C11,SteeringRevision,forbidden path,Safe proposal/recompile/revision behavior passes,UNIT/REAL_POSTGRES/REAL_WSGS
AC-V5-STEER-013,yes,V0_5,C11,SteeringRevision,invalid patched args,Safe proposal/recompile/revision behavior passes,UNIT/REAL_POSTGRES/REAL_WSGS
AC-V5-STEER-014,yes,V0_5,C11,SteeringRevision,SUGGEST_NEXT_REVISION keeps current run,Safe proposal/recompile/revision behavior passes,UNIT/REAL_POSTGRES/REAL_WSGS
AC-V5-STEER-015,yes,V0_5,C11,SteeringRevision,INTERRUPT_AND_APPLY policy,Safe proposal/recompile/revision behavior passes,UNIT/REAL_POSTGRES/REAL_WSGS
AC-V5-STEER-016,yes,V0_5,C11,SteeringRevision,APPLY_AFTER_CURRENT_NODE rejected,Safe proposal/recompile/revision behavior passes,UNIT/REAL_POSTGRES/REAL_WSGS
AC-V5-STEER-017,yes,V0_5,C11,SteeringRevision,WSGS compileRevision,Safe proposal/recompile/revision behavior passes,UNIT/REAL_POSTGRES/REAL_WSGS
AC-V5-STEER-018,yes,V0_5,C11,SteeringRevision,WSGS node reuse decision,Safe proposal/recompile/revision behavior passes,UNIT/REAL_POSTGRES/REAL_WSGS
AC-V5-STEER-019,yes,V0_5,C11,SteeringRevision,new immutable revision,Safe proposal/recompile/revision behavior passes,UNIT/REAL_POSTGRES/REAL_WSGS
AC-V5-STEER-020,yes,V0_5,C11,SteeringRevision,old evidence retained,Safe proposal/recompile/revision behavior passes,UNIT/REAL_POSTGRES/REAL_WSGS
AC-V5-INTERRUPT-001,yes,V0_5,C11,InterruptCancel,ambiguity interrupt,Exceptional intervention semantics pass,AGUI_OFFICIAL_CLIENT/REAL_WSGS/REAL_POSTGRES
AC-V5-INTERRUPT-002,yes,V0_5,C11,InterruptCancel,snapshot before interrupt,Exceptional intervention semantics pass,AGUI_OFFICIAL_CLIENT/REAL_WSGS/REAL_POSTGRES
AC-V5-INTERRUPT-003,yes,V0_5,C11,InterruptCancel,intervention persistence,Exceptional intervention semantics pass,AGUI_OFFICIAL_CLIENT/REAL_WSGS/REAL_POSTGRES
AC-V5-INTERRUPT-004,yes,V0_5,C11,InterruptCancel,same principal/thread resume,Exceptional intervention semantics pass,AGUI_OFFICIAL_CLIENT/REAL_WSGS/REAL_POSTGRES
AC-V5-INTERRUPT-005,yes,V0_5,C11,InterruptCancel,parent run lineage,Exceptional intervention semantics pass,AGUI_OFFICIAL_CLIENT/REAL_WSGS/REAL_POSTGRES
AC-V5-INTERRUPT-006,yes,V0_5,C11,InterruptCancel,cancel requested,Exceptional intervention semantics pass,AGUI_OFFICIAL_CLIENT/REAL_WSGS/REAL_POSTGRES
AC-V5-INTERRUPT-007,yes,V0_5,C11,InterruptCancel,cancel acknowledged before cancelled,Exceptional intervention semantics pass,AGUI_OFFICIAL_CLIENT/REAL_WSGS/REAL_POSTGRES
AC-V5-INTERRUPT-008,yes,V0_5,C11,InterruptCancel,cancel unsupported keeps old run,Exceptional intervention semantics pass,AGUI_OFFICIAL_CLIENT/REAL_WSGS/REAL_POSTGRES
AC-V5-INTERRUPT-009,yes,V0_5,C11,InterruptCancel,gap does not interrupt,Exceptional intervention semantics pass,AGUI_OFFICIAL_CLIENT/REAL_WSGS/REAL_POSTGRES
AC-V5-INTERRUPT-010,yes,V0_5,C11,InterruptCancel,intervention expiry,Exceptional intervention semantics pass,AGUI_OFFICIAL_CLIENT/REAL_WSGS/REAL_POSTGRES
AC-V5-RECOVERY-001,yes,V0_5,C12,RecoveryClientTimeline,browser disconnect does not cancel,Recovery/client/time semantics pass,REFERENCE_CLIENT/REAL_POSTGRES/REAL_WSGS
AC-V5-RECOVERY-002,yes,V0_5,C12,RecoveryClientTimeline,reconnect state snapshot,Recovery/client/time semantics pass,REFERENCE_CLIENT/REAL_POSTGRES/REAL_WSGS
AC-V5-RECOVERY-003,yes,V0_5,C12,RecoveryClientTimeline,reconnect activity snapshot,Recovery/client/time semantics pass,REFERENCE_CLIENT/REAL_POSTGRES/REAL_WSGS
AC-V5-RECOVERY-004,yes,V0_5,C12,RecoveryClientTimeline,duplicate event idempotent,Recovery/client/time semantics pass,REFERENCE_CLIENT/REAL_POSTGRES/REAL_WSGS
AC-V5-RECOVERY-005,yes,V0_5,C12,RecoveryClientTimeline,same sequence different payload fails,Recovery/client/time semantics pass,REFERENCE_CLIENT/REAL_POSTGRES/REAL_WSGS
AC-V5-RECOVERY-006,yes,V0_5,C12,RecoveryClientTimeline,late event audit only,Recovery/client/time semantics pass,REFERENCE_CLIENT/REAL_POSTGRES/REAL_WSGS
AC-V5-RECOVERY-007,yes,V0_5,C12,RecoveryClientTimeline,WSGS outage safe,Recovery/client/time semantics pass,REFERENCE_CLIENT/REAL_POSTGRES/REAL_WSGS
AC-V5-RECOVERY-008,yes,V0_5,C12,RecoveryClientTimeline,SACS restart recovery,Recovery/client/time semantics pass,REFERENCE_CLIENT/REAL_POSTGRES/REAL_WSGS
AC-V5-RECOVERY-009,yes,V0_5,C12,RecoveryClientTimeline,state delta conflict resync,Recovery/client/time semantics pass,REFERENCE_CLIENT/REAL_POSTGRES/REAL_WSGS
AC-V5-RECOVERY-010,yes,V0_5,C12,RecoveryClientTimeline,reference client reducers,Recovery/client/time semantics pass,REFERENCE_CLIENT/REAL_POSTGRES/REAL_WSGS
AC-V5-RECOVERY-011,yes,V0_5,C12,RecoveryClientTimeline,engine-neutral MapEngineAdapter,Recovery/client/time semantics pass,REFERENCE_CLIENT/REAL_POSTGRES/REAL_WSGS
AC-V5-RECOVERY-012,yes,V0_5,C12,RecoveryClientTimeline,analysis time window,Recovery/client/time semantics pass,REFERENCE_CLIENT/REAL_POSTGRES/REAL_WSGS
AC-V5-RECOVERY-013,yes,V0_5,C12,RecoveryClientTimeline,playback cursor local-only,Recovery/client/time semantics pass,REFERENCE_CLIENT/REAL_POSTGRES/REAL_WSGS
AC-V5-RECOVERY-014,yes,V0_5,C12,RecoveryClientTimeline,GDPS CURRENT_BACKGROUND,Recovery/client/time semantics pass,REFERENCE_CLIENT/REAL_POSTGRES/REAL_WSGS
AC-V5-RECOVERY-015,yes,V0_5,C12,RecoveryClientTimeline,resumable false,Recovery/client/time semantics pass,REFERENCE_CLIENT/REAL_POSTGRES/REAL_WSGS
AC-V5-E2E-001,yes,V0_5,C13,RealE2E,unattended read-only zero interrupt,Real SACS→WSGS→GOWM→GDPS/STAS chain passes,AGUI_OFFICIAL_CLIENT/REAL_WSGS/RUNNING_GOWM/REAL_GDPS_OR_STAS/REAL_POSTGRES
AC-V5-E2E-002,yes,V0_5,C13,RealE2E,map browse zero command,Real SACS→WSGS→GOWM→GDPS/STAS chain passes,AGUI_OFFICIAL_CLIENT/REAL_WSGS/RUNNING_GOWM/REAL_GDPS_OR_STAS/REAL_POSTGRES
AC-V5-E2E-003,yes,V0_5,C13,RealE2E,pin without analysis,Real SACS→WSGS→GOWM→GDPS/STAS chain passes,AGUI_OFFICIAL_CLIENT/REAL_WSGS/RUNNING_GOWM/REAL_GDPS_OR_STAS/REAL_POSTGRES
AC-V5-E2E-004,yes,V0_5,C13,RealE2E,non-blocking radius proposal,Real SACS→WSGS→GOWM→GDPS/STAS chain passes,AGUI_OFFICIAL_CLIENT/REAL_WSGS/RUNNING_GOWM/REAL_GDPS_OR_STAS/REAL_POSTGRES
AC-V5-E2E-005,yes,V0_5,C13,RealE2E,range proposal partial rerun,Real SACS→WSGS→GOWM→GDPS/STAS chain passes,AGUI_OFFICIAL_CLIENT/REAL_WSGS/RUNNING_GOWM/REAL_GDPS_OR_STAS/REAL_POSTGRES
AC-V5-E2E-006,yes,V0_5,C13,RealE2E,node reuse display,Real SACS→WSGS→GOWM→GDPS/STAS chain passes,AGUI_OFFICIAL_CLIENT/REAL_WSGS/RUNNING_GOWM/REAL_GDPS_OR_STAS/REAL_POSTGRES
AC-V5-E2E-007,yes,V0_5,C13,RealE2E,old revision inspectable,Real SACS→WSGS→GOWM→GDPS/STAS chain passes,AGUI_OFFICIAL_CLIENT/REAL_WSGS/RUNNING_GOWM/REAL_GDPS_OR_STAS/REAL_POSTGRES
AC-V5-E2E-008,yes,V0_5,C13,RealE2E,reference ambiguity interrupt,Real SACS→WSGS→GOWM→GDPS/STAS chain passes,AGUI_OFFICIAL_CLIENT/REAL_WSGS/RUNNING_GOWM/REAL_GDPS_OR_STAS/REAL_POSTGRES
AC-V5-E2E-009,yes,V0_5,C13,RealE2E,intervention resume,Real SACS→WSGS→GOWM→GDPS/STAS chain passes,AGUI_OFFICIAL_CLIENT/REAL_WSGS/RUNNING_GOWM/REAL_GDPS_OR_STAS/REAL_POSTGRES
AC-V5-E2E-010,yes,V0_5,C13,RealE2E,explicit stop and apply,Real SACS→WSGS→GOWM→GDPS/STAS chain passes,AGUI_OFFICIAL_CLIENT/REAL_WSGS/RUNNING_GOWM/REAL_GDPS_OR_STAS/REAL_POSTGRES
AC-V5-E2E-011,yes,V0_5,C13,RealE2E,cancel unsupported,Real SACS→WSGS→GOWM→GDPS/STAS chain passes,AGUI_OFFICIAL_CLIENT/REAL_WSGS/RUNNING_GOWM/REAL_GDPS_OR_STAS/REAL_POSTGRES
AC-V5-E2E-012,yes,V0_5,C13,RealE2E,data gap zero interrupt,Real SACS→WSGS→GOWM→GDPS/STAS chain passes,AGUI_OFFICIAL_CLIENT/REAL_WSGS/RUNNING_GOWM/REAL_GDPS_OR_STAS/REAL_POSTGRES
AC-V5-E2E-013,yes,V0_5,C13,RealE2E,capability gap zero interrupt,Real SACS→WSGS→GOWM→GDPS/STAS chain passes,AGUI_OFFICIAL_CLIENT/REAL_WSGS/RUNNING_GOWM/REAL_GDPS_OR_STAS/REAL_POSTGRES
AC-V5-E2E-014,yes,V0_5,C13,RealE2E,stale proposal conflict,Real SACS→WSGS→GOWM→GDPS/STAS chain passes,AGUI_OFFICIAL_CLIENT/REAL_WSGS/RUNNING_GOWM/REAL_GDPS_OR_STAS/REAL_POSTGRES
AC-V5-E2E-015,yes,V0_5,C13,RealE2E,invalid edit path,Real SACS→WSGS→GOWM→GDPS/STAS chain passes,AGUI_OFFICIAL_CLIENT/REAL_WSGS/RUNNING_GOWM/REAL_GDPS_OR_STAS/REAL_POSTGRES
AC-V5-E2E-016,yes,V0_5,C13,RealE2E,state-delta resync,Real SACS→WSGS→GOWM→GDPS/STAS chain passes,AGUI_OFFICIAL_CLIENT/REAL_WSGS/RUNNING_GOWM/REAL_GDPS_OR_STAS/REAL_POSTGRES
AC-V5-E2E-017,yes,V0_5,C13,RealE2E,disconnect snapshot recovery,Real SACS→WSGS→GOWM→GDPS/STAS chain passes,AGUI_OFFICIAL_CLIENT/REAL_WSGS/RUNNING_GOWM/REAL_GDPS_OR_STAS/REAL_POSTGRES
AC-V5-E2E-018,yes,V0_5,C13,RealE2E,layer load failure,Real SACS→WSGS→GOWM→GDPS/STAS chain passes,AGUI_OFFICIAL_CLIENT/REAL_WSGS/RUNNING_GOWM/REAL_GDPS_OR_STAS/REAL_POSTGRES
AC-V5-E2E-019,yes,V0_5,C13,RealE2E,focus independence,Real SACS→WSGS→GOWM→GDPS/STAS chain passes,AGUI_OFFICIAL_CLIENT/REAL_WSGS/RUNNING_GOWM/REAL_GDPS_OR_STAS/REAL_POSTGRES
AC-V5-E2E-020,yes,V0_5,C13,RealE2E,historical window/current background,Real SACS→WSGS→GOWM→GDPS/STAS chain passes,AGUI_OFFICIAL_CLIENT/REAL_WSGS/RUNNING_GOWM/REAL_GDPS_OR_STAS/REAL_POSTGRES
AC-V5-E2E-021,yes,V0_5,C13,RealE2E,OpenAI/AGUI identity parity,Real SACS→WSGS→GOWM→GDPS/STAS chain passes,AGUI_OFFICIAL_CLIENT/REAL_WSGS/RUNNING_GOWM/REAL_GDPS_OR_STAS/REAL_POSTGRES
AC-V5-E2E-022,yes,V0_5,C13,RealE2E,foreign scope non-disclosure,Real SACS→WSGS→GOWM→GDPS/STAS chain passes,AGUI_OFFICIAL_CLIENT/REAL_WSGS/RUNNING_GOWM/REAL_GDPS_OR_STAS/REAL_POSTGRES
AC-V5-NONGOAL-001,yes,V0_5,C12,NonGoal,MVT,Absent or not advertised in v0.5,STATIC_GUARD
AC-V5-NONGOAL-002,yes,V0_5,C12,NonGoal,Raster Tile,Absent or not advertised in v0.5,STATIC_GUARD
AC-V5-NONGOAL-003,yes,V0_5,C12,NonGoal,CZML,Absent or not advertised in v0.5,STATIC_GUARD
AC-V5-NONGOAL-004,yes,V0_5,C12,NonGoal,Presentation Proxy,Absent or not advertised in v0.5,STATIC_GUARD
AC-V5-NONGOAL-005,yes,V0_5,C12,NonGoal,Full Event Cursor Replay,Absent or not advertised in v0.5,STATIC_GUARD
AC-V5-NONGOAL-006,yes,V0_5,C12,NonGoal,resumable=true,Absent or not advertised in v0.5,STATIC_GUARD
AC-V5-NONGOAL-007,yes,V0_5,C12,NonGoal,WebSocket Steering,Absent or not advertised in v0.5,STATIC_GUARD
AC-V5-NONGOAL-008,yes,V0_5,C12,NonGoal,APPLY_AFTER_CURRENT_NODE,Absent or not advertised in v0.5,STATIC_GUARD
AC-V5-NONGOAL-009,yes,V0_5,C12,NonGoal,Production Cesium UI,Absent or not advertised in v0.5,STATIC_GUARD
AC-V5-NONGOAL-010,yes,V0_5,C12,NonGoal,Large-scale trajectory playback,Absent or not advertised in v0.5,STATIC_GUARD
AC-V5-NONGOAL-011,yes,V0_5,C12,NonGoal,SACS direct GOWM client,Absent or not advertised in v0.5,STATIC_GUARD
AC-V5-NONGOAL-012,yes,V0_5,C12,NonGoal,SACS direct GDPS client,Absent or not advertised in v0.5,STATIC_GUARD
AC-V5-NONGOAL-013,yes,V0_5,C12,NonGoal,SACS direct STAS client,Absent or not advertised in v0.5,STATIC_GUARD
AC-V5-NONGOAL-014,yes,V0_5,C12,NonGoal,SACS spatial computation,Absent or not advertised in v0.5,STATIC_GUARD
AC-V5-NONGOAL-015,yes,V0_5,C12,NonGoal,SACS node reuse algorithm,Absent or not advertised in v0.5,STATIC_GUARD
AC-FINAL-001,yes,GLOBAL,C14,FinalDelivery,Separate v4 denominator,Present,REPORT/GIT/CI
AC-FINAL-002,yes,GLOBAL,C14,FinalDelivery,Separate v5 denominator,Present,REPORT/GIT/CI
AC-FINAL-003,yes,GLOBAL,C14,FinalDelivery,No aggregate pass,Enforced,REPORT/GIT/CI
AC-FINAL-004,yes,GLOBAL,C14,FinalDelivery,V4 source SHA,Exact,REPORT/GIT/CI
AC-FINAL-005,yes,GLOBAL,C14,FinalDelivery,V5 source SHA,Exact if branch created,REPORT/GIT/CI
AC-FINAL-006,yes,GLOBAL,C14,FinalDelivery,V4 PR URL/state,Reported,REPORT/GIT/CI
AC-FINAL-007,yes,GLOBAL,C14,FinalDelivery,V5 PR URL/state,Reported if branch created,REPORT/GIT/CI
AC-FINAL-008,yes,GLOBAL,C14,FinalDelivery,CI run IDs,Reported,REPORT/GIT/CI
AC-FINAL-009,yes,GLOBAL,C14,FinalDelivery,Real environment fingerprint,Reported without secrets,REPORT/GIT/CI
AC-FINAL-010,yes,GLOBAL,C14,FinalDelivery,Migration state,Reported,REPORT/GIT/CI
AC-FINAL-011,yes,GLOBAL,C14,FinalDelivery,Architecture/security,Pass or explicit fail,REPORT/GIT/CI
AC-FINAL-012,yes,GLOBAL,C14,FinalDelivery,Upstream blockers,Exact,REPORT/GIT/CI
AC-FINAL-013,yes,GLOBAL,C14,FinalDelivery,No upstream repository write,Pass,REPORT/GIT/CI
AC-FINAL-014,yes,GLOBAL,C14,FinalDelivery,No merge/tag/release/deploy,Pass,REPORT/GIT/CI
AC-FINAL-015,yes,GLOBAL,C14,FinalDelivery,Final V4 decision,Allowed enum,REPORT/GIT/CI
AC-FINAL-016,yes,GLOBAL,C14,FinalDelivery,Final V5 decision,Allowed enum,REPORT/GIT/CI
